,index,name,location,year,millage,fuel_type,gears,owners,mpg,engine_size,power,seats,new_price,sale_price,wear_factor
2516,2516,Maruti SX4 Green Vxi (CNG),Mumbai,2014,53000,CNG,Manual,First,22.1 km/kg,1586 CC,85.7 bhp,5,,3.26,0.058401776
2517,2517,Hyundai Verna 1.4 VTVT,Bangalore,2016,36000,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5,,8,0.056476215
2518,2518,Maruti Swift Dzire ZDI,Ahmedabad,2012,56121,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.25,0.03558729
2519,2519,Maruti Swift VDI,Pune,2018,30000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,6,0.049099292
2520,2520,Skoda Octavia 2.0 TDI AT Style Plus,Kochi,2016,31021,Diesel,Automatic,First,19.5 kmpl,1968 CC,141 bhp,5,,16.61,0.059979506
2521,2521,Renault Duster 110PS Diesel RxL,Coimbatore,2013,52600,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5,,7.26,0.105767704
2522,2522,Mahindra Scorpio 2.6 CRDe,Bangalore,2005,60000,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,8,,4,0.031111557
2523,2523,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2016,44001,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5,,34.51,0.00999587
2524,2524,Maruti Wagon R VXI BSIII,Chennai,2003,101000,Petrol,Manual,Third,17.3 kmpl,1061 CC,64 bhp,5,,0.95,0.099190461
2525,2525,Maruti Wagon R LXI BSIII,Hyderabad,2007,84169,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5,,2.2,0.08691443
2526,2526,Hyundai i20 Sportz 1.2,Mumbai,2017,14001,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.75,0.011921076
2527,2527,Hyundai Santro Xing XO CNG,Pune,2005,100000,CNG,Manual,Third,17.0 km/kg,1086 CC,null bhp,5,,1.2,0.081081857
2528,2528,Land Rover Discovery SE 3.0 TD6,Delhi,2016,59000,Diesel,,First,18.0 kmpl,2993 CC,255 bhp,7,1.13 Cr,36.75,0.07009801
2529,2529,Mercedes-Benz New C-Class 230 Avantgarde,Hyderabad,2009,29000,Petrol,Automatic,Second,11.7 kmpl,1796 CC,178 bhp,5,,10,0.021837266
2530,2530,BMW 5 Series 520d Sedan,Kochi,2014,64158,Diesel,Automatic,First,18.48 kmpl,,,,,17.89,0.048032122
2531,2531,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2012,38800,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4.05,0.006056398
2532,2532,Audi Q7 3.0 TDI quattro,Hyderabad,2011,98000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7,,22,0.050988123
2533,2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5,45.36 Lakh,27.87,0.058008856
2534,2534,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,10.13 Lakh,8.75,0.035409585
2535,2535,Maruti Swift Dzire Vdi BSIV,Hyderabad,2016,69000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,4.79,0.02999489
2536,2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5,14.22 Lakh,11.92,0.048898704
2537,2537,Audi Q7 35 TDI Quattro Technology,Coimbatore,2016,28733,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,,53.11,0.028475014
2538,2538,Maruti Wagon R LXI,Jaipur,2006,145000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,1.15,0.111623992
2539,2539,Honda City i DTEC VX Option,Pune,2014,71000,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5,,7.45,0.098965342
2540,2540,Hyundai EON Magna Plus,Jaipur,2017,12000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.5,0.033645458
2541,2541,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Kochi,2018,21603,Diesel,Automatic,First,13.0 kmpl,2987 CC,265 bhp,5,,70.15,0.093189968
2542,2542,Hyundai Santro GLS II - Euro II,Bangalore,2011,65000,Petrol,Manual,Second,0.0 kmpl,,,,,3.15,0.02862623
2543,2543,BMW 3 Series 320d,Hyderabad,2013,58000,Diesel,Automatic,First,13.2 kmpl,1995 CC,170 bhp,5,,19.5,0.107096685
2544,2544,BMW 3 Series 318i Sedan,Pune,2012,39000,Petrol,Automatic,Second,,1995 CC,154 bhp,5,,15,0.037485848
2545,2545,Mahindra NuvoSport N8,Coimbatore,2017,37712,Diesel,Manual,First,17.45 kmpl,1493 CC,100 bhp,7,11.77 Lakh,7.57,0.099305297
2546,2546,Maruti Ritz VXi,Hyderabad,2012,68000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,4.4,0.016555696
2547,2547,BMW X6 xDrive 40d M Sport,Chennai,2016,25000,Diesel,Automatic,First,15.87 kmpl,2993 CC,308.43 bhp,5,,60,0.09347134
2548,2548,Chevrolet Beat LT,Kolkata,2010,30000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,,1.6,0.033108487
2549,2549,Maruti Swift Dzire VXI,Pune,2014,68218,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,4.9,0.02201588
2550,2550,Maruti Ertiga ZDI,Delhi,2014,52000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,5.95,0.076054221
2551,2551,Renault Duster 85PS Diesel RxL,Coimbatore,2015,63591,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,,5.35,0.106153922
2552,2552,Honda Amaze VX AT i-Vtech,Hyderabad,2014,57937,Petrol,Automatic,First,15.5 kmpl,1198 CC,86.7 bhp,5,,5.4,0.106329471
2553,2553,Audi A4 2.0 TDI Premium Sport Limited Edition,Coimbatore,2015,21979,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,,23.45,0.093814409
2554,2554,Skoda Octavia Ambiente 1.9 TDI MT,Hyderabad,2002,99000,Diesel,Manual,Second,18.7 kmpl,1896 CC,66 bhp,5,,1.9,0.112189971
2555,2555,Honda Amaze E i-Dtech,Pune,2016,62000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,6.1,0.069755174
2556,2556,Toyota Innova 2.5 EV Diesel MS 8 Str BSIII,Mumbai,2006,127001,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,,4.95,0.02314996
2557,2557,Hyundai EON D Lite Plus,Hyderabad,2013,84600,Petrol,Manual,Second,21.1 kmpl,814 CC,55.2 bhp,5,,2.5,0.10123924
2558,2558,Datsun redi-GO T Option,Kochi,2018,30953,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.05 Lakh,3.48,0.053382038
2559,2559,Maruti Swift VDI,Chennai,2012,78000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,4.4,0.111243427
2560,2560,Mitsubishi Pajero 2.8 GLX Sports,Hyderabad,2008,85000,Diesel,Manual,First,9.5 kmpl,2835 CC,118.6 bhp,6,,7.99,0.056301582
2561,2561,Volvo S80 D5,Hyderabad,2008,79000,Diesel,Automatic,First,13.1 kmpl,2400 CC,215 bhp,5,,10.99,0.093801535
2562,2562,Toyota Fortuner 4x2 AT,Delhi,2014,79000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,,18.5,0.100174278
2563,2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,26.95 Lakh,21.69,0.058449134
2564,2564,Maruti Swift Dzire VDI,Coimbatore,2014,67557,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,5.17,0.095923697
2565,2565,Hyundai Verna 1.6 SX,Delhi,2011,103814,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,4.5,0.032259093
2566,2566,Mahindra Scorpio VLX 2WD BSIV,Kolkata,2014,45128,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,,6.75,0.103006439
2567,2567,Hyundai i10 Era,Kochi,2013,56075,unknown,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,3.12,0.0645108
2568,2568,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2011,166000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,,8.25,0.034627353
2569,2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,28.05 Lakh,20.14,0.062967463
2570,2570,Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2013,114708,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,,12.6,0.115871765
2571,2571,Maruti Swift Dzire ZDI,Kochi,2015,35082,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,6.61,0.064132891
2572,2572,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2016,38593,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5,,13.23,0.021697047
2573,2573,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Mumbai,2008,70700,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,8,,4.75,0.065635066
2574,2574,Volkswagen Vento Diesel Highline,Mumbai,2011,83000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5,,2.9,0.016683936
2575,2575,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2015,120000,Diesel,Manual,First,14.8 kmpl,2499 CC,80 bhp,10,,5.5,0.046970609
2576,2576,Mahindra Ssangyong Rexton RX7,Kochi,2014,91586,Diesel,,Second,11.18 kmpl,2696 CC,184 bhp,7,,9.47,0.067028187
2577,2577,Hyundai i10 Magna,Mumbai,2008,38235,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,1.95,0.063904339
2578,2578,Hyundai i10 Sportz 1.2,Kolkata,2011,37000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.2,0.023013082
2579,2579,Hyundai Santro Xing XG eRLX Euro III,Mumbai,2006,50888,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,,1.15,0.024242302
2580,2580,Honda Amaze S i-Vtech,Bangalore,2013,44000,Petrol,Manual,Second,18.0 kmpl,1198 CC,86.7 bhp,5,,4.35,0.065175956
2581,2581,Maruti Celerio ZXI AT,Pune,2016,54000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.5,0.024069893
2582,2582,Hyundai Grand i10 Asta,Chennai,2013,90000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,3.55,0.073265911
2583,2583,Maruti Swift Dzire VDi,Kolkata,2015,35000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,4.75,0.041661811
2584,2584,Hyundai i10 Sportz,Coimbatore,2012,47324,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,4.52,0.008173558
2585,2585,BMW X1 sDrive 20d Exclusive,Mumbai,2012,65148,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5,,12.75,0.029828078
2586,2586,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2014,57773,Diesel,Automatic,Second,17.11 kmpl,1968 CC,174.33 bhp,5,,20.04,0.044436628
2587,2587,Nissan Terrano XL 85 PS,Bangalore,2014,87000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,,6.5,0.113054388
2588,2588,Mitsubishi Montero 3.2 GLS,Chennai,2007,179032,Diesel,Manual,First,11.56 kmpl,3200 CC,199.3 bhp,7,,7.5,0.042987424
2589,2589,Maruti Wagon R VXI AMT,Mumbai,2016,8000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,6.14 Lakh,4.15,0.013170553
2590,2590,Honda Civic 2006-2010 1.8 (E) MT,Hyderabad,2007,77000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,,2.5,0.013176555
2591,2591,Hyundai i20 2015-2017 Magna 1.2,Pune,2016,20600,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.4,0.010632514
2592,2592,Maruti Alto K10 VXI,Mumbai,1804,13198,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.82 Lakh,3.15,0.079053857
2593,2593,Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7,,52.5,0.075604033
2594,2594,Hyundai i20 Sportz Option 1.2,Delhi,2016,38000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,5.95,0.078092796
2595,2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,Petrol,Automatic,First,23.84 kmpl,1199 CC,83.83 bhp,5,7.17 Lakh,6.97,0.060175635
2596,2596,Hyundai i10 Sportz 1.2,Hyderabad,2011,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,3.2,0.087079995
2597,2597,Hyundai Santro Xing XP,Pune,2007,70000,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,,1.12,0.01365861
2598,2598,Renault Duster 85PS Diesel RxL Optional,Bangalore,2013,75371,Diesel,Manual,First,20.46 kmpl,1461 CC,83.8 bhp,5,,6.69,0.064398614
2599,2599,Tata Xenon XT EX 4X4,Bangalore,2014,60000,Diesel,Manual,Second,13.49 kmpl,2179 CC,138.03 bhp,5,,5.9,0.044448524
2600,2600,Hyundai i20 Magna,Kolkata,2009,30675,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2.25,0.064149538
2601,2601,Maruti Swift Dzire VDI,Kolkata,2013,22000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.5,0.101507416
2602,2602,Hyundai EON Magna,Pune,2015,55000,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,5,,2.61,0.047995952
2603,2603,Mercedes-Benz New C-Class 220 CDI AT,Jaipur,2010,74213,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,,11.5,0.107036737
2604,2604,Mini Cooper Convertible S,Mumbai,2016,15000,Petrol,Automatic,First,16.82 kmpl,1998 CC,189.08 bhp,4,44.28 Lakh,35,0.002386255
2605,2605,Tata Nano Cx,Jaipur,2010,57000,Petrol,Manual,First,26.0 kmpl,624 CC,35 bhp,4,,0.5,0.096848895
2606,2606,Maruti Ciaz ZDi Plus,Kolkata,2015,62144,Diesel,Manual,Second,26.21 kmpl,1248 CC,88.5 bhp,5,,5.75,0.067280416
2607,2607,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.72 Lakh,11.5,0.060927627
2608,2608,Hyundai EON Era Plus,Jaipur,2015,38000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,2.75,0.081361947
2609,2609,BMW 5 Series 2013-2017 520d Luxury Line,Chennai,2016,30000,Diesel,Automatic,Second,18.12 kmpl,1995 CC,190 bhp,5,,31.5,0.023189744
2610,2610,Honda Brio S MT,Kochi,2016,38735,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,4.92,0.082407262
2611,2611,Maruti Ritz VDi,Pune,2012,23598,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,,3.52,0.09615928
2612,2612,BMW 3 Series 320d Prestige,Chennai,2014,70000,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,,17.55,0.096828775
2613,2613,Maruti Swift Dzire LDI,Pune,2016,39000,unknown,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,5.8,0.096359395
2614,2614,Maruti Swift Dzire VDI,Hyderabad,2013,84175,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,6.95,0.038226514
2615,2615,Renault Scala RxL,Kolkata,2013,45000,Petrol,Manual,First,16.95 kmpl,1498 CC,97.6 bhp,5,,2.4,0.08624734
2616,2616,Chevrolet Cruze LTZ AT,Mumbai,2013,59302,Diesel,Automatic,First,14.39 kmpl,1998 CC,163.7 bhp,5,,5.25,0.013528824
2617,2617,Maruti Swift Dzire ZXi,Ahmedabad,2012,55002,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5,,4.25,0.06243964
2618,2618,Tata Indigo CS LX (TDI) BS III,Jaipur,2008,128813,Diesel,Manual,First,19.09 kmpl,1396 CC,69 bhp,5,,1.5,0.060503182
2619,2619,Hyundai Grand i10 CRDi Sportz,Jaipur,2016,46522,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,4.5,0.034844389
2620,2620,Tata Indica Vista Quadrajet LS,Pune,2014,180000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5,0.041929661
2621,2621,Ford Fiesta 1.4 TDCi EXI,Chennai,2006,89326,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,,1.55,0.038135619
2622,2622,Renault Duster 85PS Diesel RxE,Pune,2016,54000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,11.27 Lakh,6.5,0.053041816
2623,2623,BMW 5 Series 520d Sedan,Pune,2012,95000,Diesel,Automatic,Second,18.48 kmpl,,,,,18,0.108337846
2624,2624,Hyundai Grand i10 CRDi SportZ Edition,Kochi,2015,66337,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5,,4.96,0.024162883
2625,2625,Honda Brio S MT,Bangalore,2012,60000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,3.25,0.052810575
2626,2626,Audi A4 1.8 TFSI,Kolkata,2010,38001,Petrol,Automatic,First,12.3 kmpl,1781 CC,163.2 bhp,5,,8.5,0.010235365
2627,2627,Maruti Alto 800 2016-2019 LXI,Bangalore,2014,73000,Petrol,Manual,Second,24.7 kmpl,796 CC,47.3 bhp,5,,2.75,0.022373429
2628,2628,Hyundai Verna Transform SX VTVT,Bangalore,2011,61000,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5,,3.4,0.090186764
2629,2629,Maruti Ertiga ZDI,Hyderabad,2013,120000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7,,7,0.073482918
2630,2630,Chevrolet Optra Magnum 1.6 LT ABS BS3,Kochi,2012,71787,Petrol,Manual,First,12.9 kmpl,1598 CC,102.5 bhp,5,,3.21,0.017151554
2631,2631,Hyundai Creta 1.6 CRDi SX Option,Coimbatore,2016,11554,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,14.25,0.024478716
2632,2632,Volkswagen Vento 1.5 TDI Highline,Hyderabad,2014,90000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5,,6.5,0.091685864
2633,2633,Honda City i VTEC SV,Kolkata,2014,48104,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,,5.49,0.007725972
2634,2634,Hyundai Getz GLS ABS,Pune,2005,91000,Petrol,Manual,Third,16.8 kmpl,1341 CC,83 bhp,5,,0.8,0.047925662
2635,2635,Hyundai Santro Xing XG eRLX Euro III,Kochi,2007,58815,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,,1.99,0.044620003
2636,2636,Hyundai Grand i10 AT Asta,Coimbatore,2015,33931,Petrol,Automatic,Second,18.9 kmpl,1197 CC,82 bhp,5,,5.91,0.061879661
2637,2637,Hyundai Grand i10 1.2 Kappa Sportz Option,Coimbatore,2019,13916,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,,6.44,0.011615561
2638,2638,Maruti Wagon R LXI CNG,Pune,2012,90400,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5,,2.9,0.071152389
2639,2639,Hyundai Grand i10 Sportz,Jaipur,2015,14000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,4.6,0.052453532
2640,2640,Maruti Swift VDI BSIV,Pune,2007,121000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5,,2.35,0.094981552
2641,2641,Hyundai i20 Asta 1.2,Coimbatore,2016,17560,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,7.21,0.098966429
2642,2642,Renault Duster 85PS Diesel RxL,Pune,2016,60000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,8,0.06576151
2643,2643,Maruti Swift Dzire VDi,Hyderabad,2009,88096,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5,,3.5,0.044602004
2644,2644,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,2008,178280,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8,,5.9,0.060219273
2645,2645,Tata Nano Twist XT,Coimbatore,2015,19963,Petrol,Manual,Second,25.4 kmpl,624 CC,37.5 bhp,4,,1.74,0.07981162
2646,2646,Ford Figo 2015-2019 1.2P Sports Edition MT,Mumbai,2019,1000,Petrol,Manual,First,18.12 kmpl,1196 CC,86.8 bhp,5,,6.8,0.079026623
2647,2647,Hyundai i20 1.2 Asta Option,Jaipur,2017,8000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5,,7.5,0.09726401
2648,2648,Honda BRV i-VTEC V MT,Pune,2016,9200,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7,13.58 Lakh,8,0.050427595
2649,2649,Honda Amaze S Diesel,Hyderabad,2015,29000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5,9.09 Lakh,5.99,0.06266294
2650,2650,Hyundai Creta 1.6 CRDi SX,Mumbai,2017,27000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,12.9,0.015246931
2651,2651,Maruti Baleno Zeta 1.2,Delhi,2018,22900,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,7,0.09899048
2652,2652,Audi Q5 2.0 TDI Technology,Hyderabad,2014,50000,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,,35,0.094806345
2653,2653,Honda Amaze S i-DTEC,Jaipur,2015,60207,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,5.5,0.085586992
2654,2654,BMW X5 3.0d,Coimbatore,2010,101119,unknown,Automatic,First,11.0 kmpl,2993 CC,235 bhp,5,,18.46,0.023570633
2655,2655,Ford Figo Petrol Titanium,Jaipur,2010,42000,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,,2.4,0.0902669
2656,2656,Maruti Wagon R VXI,Pune,2002,93000,Petrol,Manual,Third,18.9 kmpl,998 CC,67.1 bhp,5,,1,0.029328058
2657,2657,Hyundai i10 Era,Ahmedabad,2012,60000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,2.65,0.098669596
2658,2658,Skoda Rapid 1.5 TDI AT Elegance,Kochi,2015,66122,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,5.96,0.023352085
2659,2659,Porsche Panamera Diesel,Kolkata,2015,25100,Diesel,Automatic,First,17.85 kmpl,2967 CC,300 bhp,4,,75,0.052651444
2660,2660,Mercedes-Benz CLA 200 Sport Edition,Kochi,2017,24733,Petrol,Automatic,First,15.04 kmpl,1991 CC,183 bhp,5,,27.15,0.078868847
2661,2661,Audi A6 2.8 FSI,Ahmedabad,2008,41000,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,5,,10.5,0.007295369
2662,2662,Maruti Ciaz ZXi Plus,Chennai,2015,30000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,6.7,0.098500406
2663,2663,Ford Ecosport 1.5 DV5 MT Titanium,Kolkata,2013,36000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,4.9,0.077127271
2664,2664,Mahindra Bolero mHAWK D70 ZLX,Hyderabad,2017,40279,Diesel,Manual,First,16.5 kmpl,1493 CC,70 bhp,7,,8,0.067141204
2665,2665,Maruti Alto K10 VXI,Kochi,2018,46805,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh,3.63,0.082948505
2666,2666,Maruti Swift Dzire 1.2 Vxi BSIV,Mumbai,2015,60000,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,5,,4.8,0.04525145
2667,2667,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.83 Lakh,4.25,0.03548917
2668,2668,Maruti Swift 1.3 VXi,Kolkata,2014,32986,Petrol,Manual,First,16.1 kmpl,,,,,4.24,0.056536818
2669,2669,Ford Endeavour 3.2 Trend AT 4X4,Coimbatore,2018,51530,Diesel,Automatic,First,10.91 kmpl,3198 CC,197.2 bhp,7,,30.27,0.023224606
2670,2670,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Jaipur,2013,81456,Diesel,Manual,First,15.8 kmpl,2148 CC,170 bhp,5,,14.25,0.108965304
2671,2671,Hyundai i10 Sportz AT,Ahmedabad,2012,37229,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,,3.41,0.010644204
2672,2672,Honda City 1.5 S MT,Delhi,2009,73200,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,2.78,0.08452906
2673,2673,Skoda Octavia Elegance 2.0 TDI AT,Ahmedabad,2015,71826,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5,,15.5,0.110449239
2674,2674,Tata Indica V2 eLS,Chennai,2017,129000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,,3,0.040501854
2675,2675,Maruti Wagon R VXi BSII,Pune,2012,82000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,2.3,0.022541265
2676,2676,Hyundai Creta 1.6 CRDi SX,Kochi,2017,40459,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,13.28,0.018211269
2677,2677,Maruti A-Star Lxi,Hyderabad,2009,61964,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.25,0.056912647
2678,2678,Maruti Wagon R LXI,Kochi,2011,15466,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh,3.36,0.00939019
2679,2679,Honda Mobilio E i VTEC,Kolkata,2014,23000,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7,,4.25,0.096778033
2680,2680,Hyundai i10 Magna,Coimbatore,2012,43766,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,4.3,0.08689381
2681,2681,Skoda Superb 3.6 V6 FSI,Hyderabad,2010,54000,Petrol,Automatic,First,0.0 kmpl,3597 CC,262.6 bhp,5,,6,0.046347446
2682,2682,Hyundai i20 1.4 Sportz,Coimbatore,2018,18521,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,9.18,0.068313691
2683,2683,Maruti Celerio ZXI Optional,Hyderabad,2017,26400,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.99,0.035741156
2684,2684,Skoda Laura 1.8 TSI Ambiente,Pune,2011,31900,Petrol,Manual,First,13.4 kmpl,1798 CC,157.8 bhp,5,,3.75,0.009907786
